BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1894852,512.0,479.0,33.0,34.0,0.07006335258483887,9.989738464355469e-05
1894853,512.0,479.0,33.0,34.0,0.05848979949951172,0.00010251998901367188
1894854,512.0,479.0,33.0,34.0,0.06653523445129395,9.1552734375e-05
1894855,512.0,479.0,33.0,34.0,0.06535482406616211,9.489059448242188e-05
1894856,512.0,479.0,33.0,34.0,0.07685399055480957,5.4836273193359375e-05
1894857,512.0,479.0,33.0,34.0,0.06505155563354492,6.079673767089844e-05
1894858,512.0,479.0,33.0,34.0,0.06907820701599121,6.198883056640625e-05
1894859,512.0,481.0,31.0,32.0,0.0631704330444336,0.00010514259338378906
1894860,512.0,481.0,31.0,32.0,0.07130289077758789,9.34600830078125e-05
1894861,512.0,481.0,31.0,32.0,0.06847286224365234,9.393692016601562e-05
1894862,512.0,481.0,31.0,32.0,0.07212209701538086,9.918212890625e-05
1894863,512.0,481.0,31.0,32.0,0.06820034980773926,0.00011920928955078125
1894864,512.0,482.0,30.0,31.0,0.07487225532531738,0.000102996826171875
1894865,512.0,483.0,29.0,30.0,0.0793461799621582,0.00010323524475097656
1894866,512.0,483.0,29.0,30.0,0.0681464672088623,0.00010061264038085938
1894867,512.0,484.0,28.0,29.0,0.07268857955932617,9.083747863769531e-05
1894868,512.0,484.0,28.0,29.0,0.07596111297607422,9.703636169433594e-05
1894869,512.0,484.0,28.0,29.0,0.07171750068664551,0.00010347366333007812
1894870,512.0,484.0,28.0,29.0,0.06477808952331543,9.107589721679688e-05
1894871,512.0,484.0,28.0,29.0,0.06418156623840332,7.772445678710938e-05
1894872,512.0,484.0,28.0,29.0,0.07763195037841797,8.249282836914062e-05
1894873,512.0,484.0,28.0,29.0,0.07280778884887695,8.7738037109375e-05
1894874,512.0,485.0,27.0,28.0,0.07496833801269531,8.797645568847656e-05
1894875,512.0,485.0,27.0,28.0,0.06922340393066406,8.797645568847656e-05
1894876,512.0,485.0,27.0,28.0,0.07589149475097656,9.584426879882812e-05
1894877,512.0,485.0,27.0,28.0,0.06987380981445312,0.00010037422180175781
1894878,512.0,485.0,27.0,28.0,0.08182525634765625,9.799003601074219e-05
1894879,512.0,486.0,26.0,27.0,0.07880616188049316,0.00010037422180175781
1894880,512.0,486.0,26.0,28.0,0.06496334075927734,9.298324584960938e-05
1894881,512.0,485.0,27.0,28.0,0.07597231864929199,9.632110595703125e-05
1894882,512.0,486.0,26.0,27.0,0.0626211166381836,8.797645568847656e-05
1894883,512.0,486.0,26.0,27.0,0.0611119270324707,8.273124694824219e-05
1894884,512.0,486.0,26.0,27.0,0.0760183334350586,8.559226989746094e-05
1894885,512.0,486.0,26.0,27.0,0.07880687713623047,9.799003601074219e-05
1894886,512.0,486.0,26.0,27.0,0.06089282035827637,9.751319885253906e-05
1894887,512.0,486.0,26.0,27.0,0.07203269004821777,9.34600830078125e-05
1894888,512.0,486.0,26.0,27.0,0.06933879852294922,9.393692016601562e-05
1894889,512.0,487.0,25.0,26.0,0.07281994819641113,9.965896606445312e-05
1894890,512.0,487.0,25.0,26.0,0.08035993576049805,8.821487426757812e-05
1894891,512.0,487.0,25.0,26.0,0.08105683326721191,9.918212890625e-05
1894892,512.0,487.0,25.0,26.0,0.0617673397064209,9.560585021972656e-05
1894893,737.0,712.0,25.0,27.0,0.07882809638977051,9.679794311523438e-05
1894894,549.0,524.0,25.0,27.0,0.07915782928466797,9.775161743164062e-05
1894895,512.0,486.0,26.0,27.0,0.07266354560852051,9.751319885253906e-05
1894896,512.0,487.0,25.0,26.0,0.058959007263183594,8.678436279296875e-05
1894897,512.0,487.0,25.0,26.0,0.07080793380737305,8.7738037109375e-05
