SECONDS,request_arrived
299.68039727211,2511.0
299.7527403831482,2512.0
299.769642829895,2513.0
299.9657392501831,2514.0
300.11925888061523,2515.0
300.2753310203552,2516.0
300.4229030609131,2517.0
300.572505235672,2518.0
300.5856776237488,2519.0
300.6024525165558,2520.0
300.6468143463135,2521.0
300.801805973053,2522.0
300.8188428878784,2523.0
300.8357906341553,2524.0
300.9577510356903,2525.0
301.16886734962463,2526.0
301.41838002204895,2527.0
301.5714497566223,2528.0
301.62986946105957,2529.0
301.9476914405823,2530.0
302.04273200035095,2531.0
302.5658621788025,2532.0
302.7127022743225,2533.0
302.7244653701782,2534.0
302.7361090183258,2535.0
302.7989785671234,2536.0
303.0971438884735,2537.0
303.38179421424866,2538.0
303.3936724662781,2539.0
303.60533714294434,2540.0
303.691303730011,2541.0
304.34813690185547,2542.0
304.4196078777313,2543.0
304.861576795578,2544.0
304.92471742630005,2545.0
305.1585919857025,2546.0
305.30230927467346,2547.0
305.3141851425171,2548.0
305.3260109424591,2549.0
305.3825452327728,2550.0
305.39610838890076,2551.0
305.46203112602234,2552.0
305.473806142807,2553.0
305.8750741481781,2554.0
305.8869459629059,2555.0
306.0060074329376,2556.0
306.23280119895935,2557.0
306.29251861572266,2558.0
306.66269540786743,2559.0
306.67459535598755,2560.0
307.7762179374695,2561.0
307.8487536907196,2562.0
308.14064049720764,2563.0
308.3631591796875,2564.0
308.4455044269562,2565.0
308.4573726654053,2566.0
308.5205955505371,2567.0
308.58642172813416,2568.0
308.9590382575989,2569.0
308.97085189819336,2570.0
309.11256194114685,2571.0
310.1333918571472,2572.0
310.953241109848,2573.0
311.354923248291,2574.0
311.4990267753601,2575.0
311.57928681373596,2576.0
311.5913174152374,2577.0
311.6506390571594,2578.0
311.85465025901794,2579.0
312.1987051963806,2580.0
312.2105920314789,2581.0
312.27793407440186,2582.0
312.3529996871948,2583.0
312.42030215263367,2584.0
312.9864022731781,2585.0
313.0616126060486,2586.0
313.20280361175537,2587.0
313.21456241607666,2588.0
313.277795791626,2589.0
313.48848366737366,2590.0
313.6213345527649,2591.0
313.83137488365173,2592.0
314.0427198410034,2593.0
314.17042446136475,2594.0
314.2465088367462,2595.0
314.2583472728729,2596.0
314.37905740737915,2597.0
314.53138732910156,2598.0
314.87390208244324,2599.0
315.03026485443115,2600.0
315.23754596710205,2601.0
315.2493329048157,2602.0
315.3081030845642,2603.0
315.5269114971161,2604.0
315.74318385124207,2605.0
315.8198745250702,2606.0
316.1121242046356,2607.0
316.9644253253937,2608.0
316.97623109817505,2609.0
316.98805832862854,2610.0
317.1128046512604,2611.0
317.3277792930603,2612.0
317.61215257644653,2613.0
318.10278272628784,2614.0
318.33073329925537,2615.0
318.4766025543213,2616.0
318.6134192943573,2617.0
318.8261094093323,2618.0
318.8909664154053,2619.0
318.90272998809814,2620.0
319.0403461456299,2621.0
319.05255031585693,2622.0
319.06544280052185,2623.0
319.3385407924652,2624.0
319.41915369033813,2625.0
320.2632622718811,2626.0
320.49172282218933,2627.0
320.5588731765747,2628.0
320.6318476200104,2629.0
320.7085483074188,2630.0
320.85056829452515,2631.0
321.0738024711609,2632.0
321.5789771080017,2633.0
321.71561455726624,2634.0
321.87493681907654,2635.0
322.156672000885,2636.0
322.3040018081665,2637.0
322.46125388145447,2638.0
322.4730660915375,2639.0
322.5397644042969,2640.0
323.1123490333557,2641.0
323.5292761325836,2642.0
323.55714988708496,2643.0
