SECONDS,decode_completed
266.8703033924103,104168.0
266.8703033924103,104166.0
266.8703033924103,104167.0
266.8703033924103,104150.0
266.8703033924103,104164.0
266.8703033924103,104154.0
266.8703033924103,104159.0
266.8703033924103,104153.0
266.8703033924103,104169.0
266.8703033924103,104170.0
266.9419376850128,104175.0
266.9419376850128,104178.0
266.9419376850128,104177.0
266.9419376850128,104180.0
266.9419376850128,104183.0
266.9419376850128,104194.0
266.9419376850128,104191.0
266.9419376850128,104174.0
266.9419376850128,104173.0
266.9419376850128,104176.0
266.9419376850128,104186.0
266.9419376850128,104171.0
266.9419376850128,104172.0
266.9419376850128,104185.0
266.9419376850128,104187.0
266.9419376850128,104190.0
266.9419376850128,104179.0
266.9419376850128,104193.0
266.9419376850128,104181.0
266.9419376850128,104189.0
266.9419376850128,104188.0
266.9419376850128,104184.0
266.9419376850128,104192.0
266.9419376850128,104195.0
266.9419376850128,104182.0
266.9419376850128,104196.0
266.9993643760681,104219.0
266.9993643760681,104216.0
266.9993643760681,104208.0
266.9993643760681,104211.0
266.9993643760681,104201.0
266.9993643760681,104207.0
266.9993643760681,104200.0
266.9993643760681,104215.0
266.9993643760681,104210.0
266.9993643760681,104209.0
266.9993643760681,104214.0
266.9993643760681,104202.0
266.9993643760681,104212.0
266.9993643760681,104213.0
266.9993643760681,104198.0
266.9993643760681,104217.0
266.9993643760681,104203.0
266.9993643760681,104218.0
266.9993643760681,104197.0
266.9993643760681,104199.0
266.9993643760681,104220.0
266.9993643760681,104221.0
266.9993643760681,104206.0
266.9993643760681,104204.0
266.9993643760681,104205.0
267.05927419662476,104238.0
267.05927419662476,104222.0
267.05927419662476,104223.0
267.05927419662476,104224.0
267.05927419662476,104242.0
267.05927419662476,104233.0
267.05927419662476,104239.0
267.05927419662476,104230.0
267.05927419662476,104245.0
267.05927419662476,104243.0
267.05927419662476,104246.0
267.05927419662476,104244.0
267.05927419662476,104234.0
267.05927419662476,104232.0
267.05927419662476,104231.0
267.05927419662476,104227.0
267.05927419662476,104228.0
267.05927419662476,104229.0
267.05927419662476,104241.0
267.05927419662476,104240.0
267.05927419662476,104235.0
267.05927419662476,104226.0
267.05927419662476,104225.0
267.05927419662476,104236.0
267.05927419662476,104237.0
267.13595604896545,104255.0
267.13595604896545,104249.0
267.13595604896545,104261.0
267.13595604896545,104271.0
267.13595604896545,104250.0
267.13595604896545,104270.0
267.13595604896545,104251.0
267.13595604896545,104257.0
267.13595604896545,104247.0
267.13595604896545,104258.0
267.13595604896545,104263.0
267.13595604896545,104265.0
267.13595604896545,104264.0
267.13595604896545,104256.0
267.13595604896545,104262.0
267.13595604896545,104259.0
267.13595604896545,104260.0
267.13595604896545,104267.0
267.13595604896545,104269.0
267.13595604896545,104272.0
267.13595604896545,104268.0
267.13595604896545,104252.0
267.13595604896545,104254.0
267.13595604896545,104248.0
267.13595604896545,104253.0
267.13595604896545,104266.0
267.2040026187897,104294.0
267.2040026187897,104296.0
267.2040026187897,104281.0
267.2040026187897,104288.0
267.2040026187897,104298.0
267.2040026187897,104277.0
267.2040026187897,104276.0
267.2040026187897,104295.0
267.2040026187897,104283.0
267.2040026187897,104286.0
267.2040026187897,104299.0
267.2040026187897,104284.0
267.2040026187897,104287.0
267.2040026187897,104291.0
267.2040026187897,104293.0
267.2040026187897,104292.0
267.2040026187897,104289.0
267.2040026187897,104290.0
267.2040026187897,104273.0
267.2040026187897,104274.0
267.2040026187897,104279.0
267.2040026187897,104297.0
267.2040026187897,104275.0
267.2040026187897,104278.0
267.2040026187897,104280.0
267.2040026187897,104282.0
267.2040026187897,104285.0
267.2610387802124,104321.0
267.2610387802124,104322.0
267.2610387802124,104320.0
267.2610387802124,104311.0
267.2610387802124,104310.0
267.2610387802124,104325.0
267.2610387802124,104324.0
267.2610387802124,104323.0
267.2610387802124,104326.0
267.2610387802124,104309.0
267.2610387802124,104308.0
267.2610387802124,104307.0
267.2610387802124,104302.0
267.2610387802124,104314.0
267.2610387802124,104313.0
267.2610387802124,104301.0
267.2610387802124,104304.0
267.2610387802124,104300.0
267.2610387802124,104319.0
267.2610387802124,104318.0
267.2610387802124,104303.0
267.2610387802124,104316.0
267.2610387802124,104317.0
267.2610387802124,104312.0
267.2610387802124,104315.0
267.2610387802124,104305.0
267.2610387802124,104306.0
267.33809447288513,104327.0
267.33809447288513,104338.0
267.33809447288513,104337.0
267.33809447288513,104335.0
267.33809447288513,104339.0
267.33809447288513,104340.0
267.33809447288513,104341.0
267.33809447288513,104329.0
267.33809447288513,104342.0
267.33809447288513,104353.0
267.33809447288513,104328.0
267.33809447288513,104343.0
267.33809447288513,104354.0
267.33809447288513,104346.0
267.33809447288513,104350.0
267.33809447288513,104330.0
267.33809447288513,104334.0
267.33809447288513,104348.0
267.33809447288513,104347.0
267.33809447288513,104332.0
267.33809447288513,104331.0
267.33809447288513,104344.0
267.33809447288513,104352.0
267.33809447288513,104349.0
267.33809447288513,104345.0
267.33809447288513,104333.0
267.33809447288513,104351.0
267.33809447288513,104336.0
267.4042053222656,104369.0
267.4042053222656,104380.0
267.4042053222656,104381.0
267.4042053222656,104382.0
267.4042053222656,104360.0
267.4042053222656,104376.0
267.4042053222656,104370.0
267.4042053222656,104379.0
267.4042053222656,104359.0
267.4042053222656,104361.0
267.4042053222656,104362.0
267.4042053222656,104378.0
267.4042053222656,104366.0
267.4042053222656,104377.0
267.4042053222656,104368.0
267.4042053222656,104383.0
267.4042053222656,104364.0
267.4042053222656,104365.0
267.4042053222656,104367.0
267.4042053222656,104363.0
267.4042053222656,104356.0
267.4042053222656,104357.0
267.4042053222656,104358.0
267.4042053222656,104375.0
267.4042053222656,104373.0
267.4042053222656,104374.0
267.4042053222656,104371.0
267.4042053222656,104355.0
267.4042053222656,104372.0
267.46361088752747,104386.0
267.46361088752747,104400.0
267.46361088752747,104410.0
267.46361088752747,104395.0
267.46361088752747,104396.0
267.46361088752747,104397.0
267.46361088752747,104409.0
267.46361088752747,104412.0
267.46361088752747,104392.0
267.46361088752747,104407.0
267.46361088752747,104411.0
267.46361088752747,104390.0
267.46361088752747,104391.0
267.46361088752747,104393.0
267.46361088752747,104408.0
267.46361088752747,104398.0
267.46361088752747,104388.0
267.46361088752747,104403.0
267.46361088752747,104404.0
267.46361088752747,104406.0
267.46361088752747,104387.0
267.46361088752747,104389.0
267.46361088752747,104385.0
267.46361088752747,104384.0
267.46361088752747,104399.0
267.46361088752747,104401.0
267.46361088752747,104402.0
267.46361088752747,104394.0
267.46361088752747,104405.0
267.52761912345886,104424.0
267.52761912345886,104430.0
267.52761912345886,104438.0
267.52761912345886,104437.0
267.52761912345886,104419.0
267.52761912345886,104420.0
267.52761912345886,104422.0
267.52761912345886,104421.0
267.52761912345886,104415.0
267.52761912345886,104439.0
267.52761912345886,104432.0
267.52761912345886,104428.0
267.52761912345886,104429.0
267.52761912345886,104440.0
267.52761912345886,104427.0
267.52761912345886,104436.0
267.52761912345886,104431.0
267.52761912345886,104423.0
267.52761912345886,104433.0
267.52761912345886,104434.0
267.52761912345886,104417.0
267.52761912345886,104418.0
267.52761912345886,104425.0
267.52761912345886,104426.0
267.52761912345886,104416.0
267.52761912345886,104441.0
267.52761912345886,104435.0
267.52761912345886,104413.0
267.52761912345886,104414.0
267.60243701934814,104464.0
267.60243701934814,104459.0
267.60243701934814,104461.0
267.60243701934814,104462.0
267.60243701934814,104465.0
267.60243701934814,104447.0
267.60243701934814,104442.0
267.60243701934814,104460.0
267.60243701934814,104448.0
267.60243701934814,104466.0
267.60243701934814,104463.0
267.60243701934814,104450.0
267.60243701934814,104449.0
267.60243701934814,104457.0
267.60243701934814,104468.0
267.60243701934814,104467.0
267.60243701934814,104458.0
267.60243701934814,104469.0
267.60243701934814,104452.0
267.60243701934814,104451.0
267.60243701934814,104470.0
267.60243701934814,104454.0
267.60243701934814,104456.0
267.60243701934814,104453.0
267.60243701934814,104455.0
267.60243701934814,104471.0
267.60243701934814,104444.0
267.60243701934814,104445.0
267.60243701934814,104446.0
267.60243701934814,104443.0
267.67034006118774,104495.0
267.67034006118774,104474.0
267.67034006118774,104491.0
267.67034006118774,104498.0
267.67034006118774,104496.0
267.67034006118774,104494.0
267.67034006118774,104493.0
267.67034006118774,104489.0
267.67034006118774,104487.0
267.67034006118774,104482.0
267.67034006118774,104485.0
267.67034006118774,104486.0
267.67034006118774,104488.0
267.67034006118774,104490.0
267.67034006118774,104481.0
267.67034006118774,104492.0
267.67034006118774,104499.0
267.67034006118774,104500.0
267.67034006118774,104475.0
267.67034006118774,104476.0
267.67034006118774,104480.0
267.67034006118774,104497.0
267.67034006118774,104478.0
267.67034006118774,104473.0
267.67034006118774,104477.0
267.67034006118774,104479.0
267.67034006118774,104483.0
267.67034006118774,104484.0
267.67034006118774,104501.0
267.67034006118774,104502.0
267.67034006118774,104472.0
267.7431526184082,104527.0
267.7431526184082,104510.0
267.7431526184082,104509.0
267.7431526184082,104511.0
267.7431526184082,104504.0
267.7431526184082,104506.0
267.7431526184082,104505.0
267.7431526184082,104525.0
267.7431526184082,104526.0
267.7431526184082,104529.0
267.7431526184082,104530.0
267.7431526184082,104531.0
267.7431526184082,104507.0
267.7431526184082,104512.0
267.7431526184082,104528.0
267.7431526184082,104503.0
267.7431526184082,104516.0
267.7431526184082,104515.0
267.7431526184082,104533.0
267.7431526184082,104514.0
267.7431526184082,104519.0
267.7431526184082,104521.0
267.7431526184082,104513.0
267.7431526184082,104522.0
267.7431526184082,104520.0
267.7431526184082,104518.0
267.7431526184082,104517.0
267.7431526184082,104508.0
267.7431526184082,104524.0
267.7431526184082,104523.0
267.7431526184082,104532.0
267.80318236351013,104550.0
267.80318236351013,104549.0
267.80318236351013,104548.0
267.80318236351013,104552.0
267.80318236351013,104564.0
267.80318236351013,104557.0
267.80318236351013,104558.0
267.80318236351013,104560.0
267.80318236351013,104563.0
267.80318236351013,104556.0
267.80318236351013,104555.0
267.80318236351013,104545.0
267.80318236351013,104546.0
267.80318236351013,104553.0
267.80318236351013,104551.0
267.80318236351013,104554.0
267.80318236351013,104535.0
267.80318236351013,104547.0
267.80318236351013,104541.0
267.80318236351013,104540.0
267.80318236351013,104562.0
267.80318236351013,104561.0
267.80318236351013,104537.0
267.80318236351013,104539.0
267.80318236351013,104538.0
267.80318236351013,104559.0
267.80318236351013,104536.0
267.80318236351013,104543.0
267.80318236351013,104544.0
267.80318236351013,104542.0
267.80318236351013,104534.0
267.86590218544006,104581.0
267.86590218544006,104586.0
267.86590218544006,104579.0
267.86590218544006,104577.0
267.86590218544006,104584.0
267.86590218544006,104582.0
267.86590218544006,104587.0
267.86590218544006,104588.0
267.86590218544006,104566.0
267.86590218544006,104592.0
267.86590218544006,104593.0
267.86590218544006,104583.0
267.86590218544006,104585.0
267.86590218544006,104575.0
267.86590218544006,104568.0
267.86590218544006,104565.0
267.86590218544006,104570.0
267.86590218544006,104594.0
267.86590218544006,104576.0
267.86590218544006,104590.0
267.86590218544006,104589.0
267.86590218544006,104591.0
267.86590218544006,104578.0
267.86590218544006,104569.0
267.86590218544006,104572.0
267.86590218544006,104571.0
267.86590218544006,104573.0
267.86590218544006,104574.0
267.86590218544006,104580.0
267.86590218544006,104567.0
